176.0
4 / 4
Note/Rest,Octave,Len,Offset
D, 3, 3.25, 231.666666667
G#, 4, 0.25, 236.25
F, 4, 0.0, 236.5
G, 4, 2/3, 237.0
G#, 3, 1.25, 238.666666667
E, 4, 0.25, 242.666666667
D, 3, 0.25, 244.5
D, 2, 0.25, 245.666666667
C, 5, 0.25, 246.0
D, 5, 0.25, 246.333333333
B, 3, 0.0, 248.666666667
D, 5, 2/3, 249.0
F, 4, 0.25, 250.666666667
B-, 4, 0.5, 253.0
A, 4, 0.25, 254.25
C, 4, 0.25, 254.666666667
B-, 2, 0.25, 256.666666667
F#, 3, 5/3, 258.0
E, 5, 0.0, 264.25
D, 4, 1.5, 265.666666667
D, 4, 0.5, 268.666666667
G, 5, 0.75, 270.0
F, 4, 1.0, 271.666666667
E, 4, 4/3, 273.666666667
B, 4, 0.25, 275.0
B-, 3, 1.0, 275.666666667
E, 3, 1.0, 277.666666667
C, 4, 1.0, 279.666666667
B-, 4, 0.5, 282.0
B-, 3, 0.75, 282.666666667
D, 5, 0.25, 283.5
B, 3, 2/3, 285.5
E, 3, 0.0, 286.75
E, 4, 4/3, 288.0
D, 4, 1.25, 290.0
G, 5, 0.5, 293.0
E, 5, 0.25, 293.666666667
E-, 5, 0.25, 294.0
C, 5, 0.0, 294.25
B-, 4, 0.25, 294.333333333
F#, 4, 0.25, 294.666666667
E-, 4, 0.25, 295.0
D, 4, 0.25, 295.333333333
C, 4, 0.0, 295.666666667
B-, 3, 0.25, 295.75
G, 3, 0.25, 296.25
C#, 3, 0.25, 296.75
B, 3, 0.25, 297.666666667
G, 3, 0.25, 298.75
D, 3, 11/3, 299.5
C, 2, 1/3, 303.666666667
C#, 2, 0.25, 306.666666667
C, 5, 0.0, 307.666666667
F, 3, 0.0, 308.666666667
F, 6, 0.0, 309.25
G, 5, 0.0, 309.666666667
E, 6, 0.25, 310.0
E-, 6, 0.25, 310.25
F, 5, 0.25, 312.666666667
E, 5, 0.25, 313.666666667
C, 5, 0.25, 314.333333333
C, 5, 0.0, 315.25
A, 4, 0.25, 316.666666667
F, 4, 0.0, 317.5
G, 4, 0.25, 317.666666667
B, 3, 0.333333333333, 318.666666667
D, 3, 0.0, 319.25
C, 5, 0.25, 321.0
B-, 5, 0.25, 323.333333333
D, 5, 0.25, 323.75
B-, 4, 0.25, 326.5
A, 3, 0.333333333333, 327.75
A, 3, 0.25, 331.0
E, 3, 0.25, 332.5
E, 2, 1.0, 334.75
D, 4, 1.0, 335.75
F, 3, 0.25, 336.75
C#, 2, 1.0, 339.0
E-, 3, 1.75, 340.0
B-, 1, 0.25, 343.5
G#, 5, 0.0, 344.333333333
B-, 5, 1/3, 344.75
D, 4, 0.25, 346.5
G, 5, 0.25, 348.333333333
B, 4, 0.0, 350.75
C, 5, 1/3, 351.75
A, 4, 0.25, 352.333333333
C, 4, 0.25, 352.666666667
C, 4, 0.25, 353.0
F, 4, 0.25, 354.333333333
A, 3, 1/3, 355.0
F#, 2, 0.25, 356.666666667
B-, 3, 1.0, 357.0
E-, 6, 0.25, 359.0
D, 6, 0.25, 359.25
B, 5, 0.25, 359.666666667
C#, 6, 0.25, 360.75
F, 5, 0.25, 361.75
C#, 6, 0.25, 362.333333333
B, 5, 0.25, 364.0
D, 5, 0.0, 364.75
B, 5, 0.25, 365.5
G#, 3, 0.25, 366.666666667
A, 5, 0.25, 368.75
C, 5, 0.0, 369.666666667
C#, 6, 0.25, 370.333333333
C#, 3, 0.25, 371.333333333
A, 5, 0.25, 372.5
F, 6, 0.25, 373.333333333
E, 5, 0.0, 375.5
B, 3, 0.25, 376.666666667
F, 5, 0.25, 377.333333333
F, 4, 1/3, 378.666666667
D, 5, 2/3, 379.0
G#, 5, 0.25, 382.75
D, 4, 0.0, 383.666666667
C, 5, 0.25, 384.666666667
B-, 4, 2/3, 385.0
G#, 4, 0.25, 386.0
A, 4, 1/3, 386.333333333
B, 2, 0.0, 387.666666667
C, 2, 0.75, 388.75
C, 6, 0.25, 390.0
D, 6, 0.25, 390.333333333
F, 1, 1/3, 390.666666667
D, 6, 0.75, 393.0
G, 5, 0.25, 399.666666667
G#, 5, 0.25, 400.0
B, 3, 0.666666666667, 402.666666667
B-, 6, 0.0, 405.75
G, 6, 0.25, 406.0
F, 3, 1.25, 406.5
C, 5, 0.25, 408.5
F, 3, 0.0, 409.666666667
E-, 4, 0.0, 412.333333333
B, 1, 0.25, 413.5
E, 4, 0.0, 419.5
B, 2, 0.0, 419.5
C, 3, 0.0, 419.666666667
A, 3, 0.25, 420.0
G, 4, 0.25, 420.333333333
C, 2, 0.0, 420.75
F, 4, 0.25, 420.75
C, 5, 0.25, 423.0
D, 4, 0.25, 423.75
B-, 4, 0.25, 426.333333333
D, 5, 0.5, 428.0
F, 4, 0.25, 428.666666667
D, 5, 1.75, 429.0
A, 6, 0.25, 431.75
B-, 3, 0.0, 434.0
E, 6, 0.75, 434.0
F, 4, 1.0, 436.0
C, 4, 1.25, 437.666666667
E, 7, 0.0, 439.0
F, 5, 0.0, 439.5
F, 3, 0.25, 440.666666667
A, 4, 0.25, 441.0
B, 3, 0.25, 441.666666667
D, 4, 0.25, 442.5
F, 4, 0.25, 443.0
F, 4, 1/3, 443.5
A, 5, 0.25, 444.0
G#, 5, 0.0, 445.0
D, 5, 0.25, 446.0
E, 6, 0.0, 446.333333333
E, 6, 0.0, 448.75
F, 6, 0.25, 448.75
B-, 5, 2/3, 449.0
C, 5, 0.5, 453.25
F, 4, 0.75, 454.0
G, 5, 0.25, 455.0
E, 3, 0.0, 459.75
C, 4, 0.0, 459.75
F, 4, 7/3, 464.0
C, 3, 11/3, 467.666666667
D, 5, 1.0, 471.75
B-, 4, 2/3, 473.0
F, 4, 0.0, 473.75
D, 5, 1.5, 474.0
D, 4, 0.75, 475.666666667
E, 6, 0.25, 478.0
F, 6, 0.25, 478.25
E, 6, 0.25, 478.5
D, 6, 1/3, 479.0
F, 4, 2.25, 479.75
D, 5, 0.5, 482.0
F, 3, 0.0, 484.666666667
F, 5, 0.25, 485.75
G, 5, 1/3, 486.0
E, 3, 0.0, 486.666666667
D, 4, 0.25, 487.666666667
G#, 3, 0.0, 491.75
B, 5, 1/3, 492.0
F, 6, 0.0, 494.666666667
F, 5, 0.25, 510.333333333
F, 5, 0.25, 512.333333333
A, 5, 0.25, 528.0
C#, 5, 1.0, 14.0
D, 5, 0.25, 16.0
D, 5, 3.0, 16.3333333333
E-, 4, 2/3, 22.0
B-, 5, 0.75, 24.0
B, 5, 4/3, 28.6666666667
G#, 3, 0.75, 30.0
C, 5, 1.25, 68.6666666667
E, 4, 1.0, 70.0
E, 5, 0.0, 72.0
E, 5, 1.0, 72.25
E, 4, 1.0, 73.6666666667
D, 4, 5/3, 76.0
C#, 5, 0.25, 78.0
A, 5, 0.5, 78.6666666667
F, 5, 2/3, 80.0
C#, 3, 1.75, 81.6666666667
G, 4, 0.333333333333, 85.0
B-, 4, 0.25, 85.6666666667
F, 5, 1/3, 86.5
F, 3, 5.0, 87.6666666667
E, 5, 0.25, 94.0
F, 5, 0.25, 94.25
E, 5, 0.25, 94.5
D, 5, 0.25, 95.0
E, 5, 0.25, 95.25
D, 5, 0.25, 95.5
A, 3, 0.25, 114.0
E, 5, 0.0, 116.0
C#, 4, 0.25, 116.666666667
C#, 5, 0.0, 118.0
D, 3, 1.0, 118.0
D, 5, 1/3, 121.0
D, 5, 0.5, 123.75
D, 6, 1/3, 133.0
C, 6, 0.25, 133.666666667
A, 5, 0.5, 134.0
F, 5, 0.25, 134.666666667
F, 5, 0.5, 152.0
E, 5, 0.0, 157.0
G#, 3, 0.5, 158.75
B, 4, 0.25, 159.75
G, 5, 0.25, 167.333333333
D, 3, 0.5, 167.666666667
G#, 3, 0.25, 175.333333333
B, 3, 1.0, 190.666666667
B-, 5, 0.25, 193.333333333
B, 5, 0.5, 194.75
G#, 5, 0.25, 198.333333333
C, 6, 0.5, 199.666666667
A, 4, 0.25, 208.333333333
E-, 4, 2.0, 212.0
E-, 6, 0.25, 214.0
E-, 4, 0.5, 214.666666667
B-, 5, 0.0, 230.75
C#, 5, 1/3, 231.0
D, 5, 0.25, 231.666666667
B-, 5, 0.25, 232.0
D, 6, 0.25, 232.25
B-, 5, 0.25, 232.5
F, 5, 1/3, 233.75
D, 4, 1.0, 238.666666667
C#, 5, 0.0, 246.0
D, 3, 4/3, 246.666666667
C, 5, 0.25, 252.0
B-, 4, 0.0, 263.0
E, 4, 0.0, 264.0
F, 4, 1.5, 265.666666667
E, 3, 0.5, 268.666666667
C#, 4, 1.0, 270.0
D, 5, 0.25, 271.666666667
D, 5, 0.75, 272.0
G#, 4, 0.75, 273.75
A, 4, 0.333333333333, 274.5
G, 4, 1.0, 275.666666667
E-, 3, 0.75, 278.666666667
A, 4, 1.25, 279.666666667
F, 4, 2/3, 282.666666667
G, 4, 0.25, 284.75
D, 4, 0.333333333333, 286.25
B, 3, 0.5, 286.75
E, 4, 0.25, 287.5
C, 4, 0.25, 291.666666667
C, 6, 0.0, 293.0
A, 5, 0.25, 293.0
F, 4, 0.25, 294.75
F, 3, 1/3, 296.25
F, 3, 0.25, 300.5
G, 3, 0.25, 300.75
G#, 3, 0.25, 301.0
B-, 3, 0.25, 301.25
B, 3, 0.25, 301.5
C, 4, 0.25, 301.75
C#, 4, 0.0, 302.0
D, 4, 0.25, 302.25
E-, 4, 0.0, 302.5
E, 4, 0.25, 302.75
F, 3, 0.25, 303.666666667
E, 3, 0.0, 306.666666667
B-, 3, 1/3, 327.25
C, 3, 3.0, 327.75
B-, 3, 0.0, 332.5
G, 2, 0.25, 332.5
G, 4, 2/3, 335.0
G#, 5, 0.25, 340.0
F, 6, 0.0, 340.75
F, 2, 2.0, 341.666666667
D, 6, 0.25, 344.75
G#, 5, 0.25, 345.0
F, 5, 0.25, 346.666666667
C, 3, 0.25, 350.75
B, 4, 0.25, 351.75
B-, 3, 0.333333333333, 355.0
E-, 6, 0.25, 363.666666667
B, 3, 0.5, 378.666666667
D, 3, 0.25, 380.666666667
G#, 5, 0.25, 383.666666667
C, 3, 0.25, 387.666666667
C#, 6, 0.25, 390.0
E, 4, 1/3, 402.666666667
E-, 7, 0.25, 405.25
C, 7, 0.0, 405.5
E-, 4, 0.0, 406.5
E-, 6, 0.25, 406.5
G, 5, 0.25, 407.5
D, 3, 1/3, 413.666666667
E, 4, 0.25, 420.5
F#, 6, 0.0, 431.75
A, 6, 0.25, 432.75
G, 5, 2/3, 434.0
A, 3, 0.25, 440.75
E-, 4, 0.25, 442.666666667
A, 4, 0.25, 444.0
C, 6, 0.0, 445.25
A, 5, 0.25, 451.25
E, 5, 0.0, 456.0
A, 4, 1.25, 456.0
A, 4, 2/3, 457.666666667
A, 6, 2/3, 460.666666667
A, 5, 2.0, 464.0
B-, 3, 8/3, 467.666666667
G, 4, 0.25, 470.5
B-, 4, 1/3, 471.0
D, 4, 2.25, 471.75
G#, 4, 0.666666666667, 474.0
D, 4, 0.0, 474.75
G#, 3, 2/3, 475.75
E, 6, 0.25, 479.0
C, 3, 4.0, 479.75
G, 5, 0.25, 486.666666667
F, 6, 1/3, 495.666666667
D, 5, 0.75, 12.6666666667
E, 4, 2/3, 14.0
F, 5, 1.33333333333, 16.0
F, 5, 1.75, 17.6666666667
G, 4, 1/3, 22.0
D, 5, 1.25, 28.6666666667
C, 6, 2/3, 30.0
G, 3, 4.0, 31.5
F, 5, 1.0, 70.0
G, 4, 0.75, 73.6666666667
G, 4, 0.5, 78.0
C#, 5, 0.25, 78.6666666667
B, 3, 1.5, 81.6666666667
D, 5, 0.0, 86.6666666667
D, 5, 0.5, 87.6666666667
F, 4, 0.333333333333, 88.6666666667
F, 4, 1.0, 89.0
B-, 4, 0.5, 90.0
C, 5, 1/3, 91.0
G, 5, 1/3, 92.6666666667
C, 5, 0.25, 94.6666666667
B-, 4, 0.25, 95.6666666667
F, 5, 1/3, 199.666666667
F, 6, 0.25, 212.25
D, 6, 0.25, 212.5
C, 6, 0.25, 212.75
B-, 5, 0.25, 213.0
G#, 5, 0.0, 213.333333333
A, 5, 0.25, 213.5
F#, 6, 0.25, 213.75
C#, 6, 0.5, 231.0
D, 6, 1/3, 231.75
F, 5, 0.25, 232.666666667
C#, 5, 0.25, 233.75
D, 5, 0.333333333333, 234.0
C, 4, 0.25, 238.666666667
C#, 5, 0.666666666667, 239.0
D, 3, 4/3, 271.666666667
B-, 4, 0.25, 274.75
E-, 4, 0.75, 275.666666667
G#, 4, 1.0, 277.666666667
F, 4, 1.0, 279.666666667
B-, 1, 8/3, 296.333333333
E, 4, 1/3, 335.0
G#, 6, 0.333333333333, 340.0
G#, 5, 0.25, 341.666666667
G#, 5, 0.25, 343.666666667
E-, 5, 0.25, 371.5
E, 5, 0.25, 378.75
C#, 3, 1.0, 402.666666667
D, 7, 0.25, 405.333333333
D, 4, 0.0, 430.666666667
B-, 3, 0.5, 434.333333333
E, 4, 0.5, 437.666666667
F, 6, 0.25, 449.0
E, 5, 1.0, 456.5
D, 5, 1.0, 457.75
G, 3, 0.25, 460.75
G, 6, 0.75, 462.0
D, 6, 2.0, 464.0
E-, 4, 2.5, 467.666666667
E-, 4, 0.25, 470.666666667
B-, 4, 0.25, 471.75
B, 4, 0.75, 472.0
D, 5, 0.5, 473.0
C, 3, 0.25, 475.75
C, 6, 0.25, 480.0
D, 6, 0.25, 480.25
C, 6, 0.25, 480.5
E, 5, 2/3, 481.0
C, 5, 0.0, 481.75
A, 4, 3.0, 16.0
B-, 4, 0.25, 20.6666666667
A, 3, 0.5, 22.0
G#, 5, 0.25, 28.6666666667
G#, 5, 1/3, 29.25
D, 5, 0.25, 30.0
C, 5, 3.5, 31.5
E, 5, 0.25, 73.6666666667
E, 5, 0.5, 74.0
G#, 5, 0.25, 82.0
E-, 5, 0.25, 82.5
B, 4, 0.0, 91.0
C, 3, 0.25, 92.6666666667
E-, 6, 0.25, 212.333333333
B, 5, 0.0, 213.666666667
D, 5, 1/3, 238.666666667
A, 4, 2/3, 268.75
F, 5, 1.0, 271.666666667
F, 2, 4/3, 279.666666667
D, 4, 0.25, 402.75
D, 7, 0.75, 437.75
D, 4, 0.25, 460.75
D, 3, 2.66666666667, 464.0
C, 6, 0.25, 467.666666667
C, 6, 0.25, 468.75
B-, 4, 0.25, 470.0
G#, 4, 0.0, 470.666666667
A, 4, 0.0, 471.75
A, 5, 0.25, 480.666666667
A, 4, 0.0, 22.0
D, 6, 0.75, 28.6666666667
F, 5, 1.25, 92.6666666667
D, 3, 2.0, 279.666666667
D, 6, 0.5, 437.75
C, 4, 7/3, 464.0
G#, 3, 1.0, 28.6666666667
G, 3, 1.0, 279.666666667
E, 6, 0.0, 437.75
F, 5, 1.75, 464.0
B-, 5, 0.0, 28.6666666667
